Timestamp,File,Upload (s),Download (s),Soundtrap (ms)
2025-04-14 17:50:32,file_example_MP3_5MG.mp3,0.222,0.457,430.62
2025-04-14 17:50:34,file_example_MP3_5MG.mp3,0.198,0.463,509.83
2025-04-14 17:50:37,file_example_MP3_5MG.mp3,0.156,0.492,1131.58
2025-04-14 17:50:39,file_example_MP3_5MG.mp3,0.207,1.131,467.86
2025-04-14 17:50:42,file_example_MP3_5MG.mp3,0.196,0.627,427.14
2025-04-14 17:50:44,file_example_MP3_5MG.mp3,0.343,0.26,448.16
2025-04-14 17:50:47,file_example_MP3_5MG.mp3,0.252,0.238,421.03
2025-04-14 17:50:48,file_example_MP3_5MG.mp3,0.235,0.291,424.83
2025-04-14 17:50:50,file_example_MP3_5MG.mp3,0.188,0.889,504.56
2025-04-14 17:50:53,file_example_MP3_5MG.mp3,0.243,0.635,421.4
2025-04-14 17:50:55,file_example_MP3_5MG.mp3,0.233,0.432,499.46
2025-04-14 17:50:57,file_example_MP3_5MG.mp3,0.215,0.335,430.79
2025-04-14 17:50:59,file_example_MP3_5MG.mp3,0.206,0.297,433.05
2025-04-14 17:51:01,file_example_MP3_5MG.mp3,0.225,0.263,456.88
2025-04-14 17:51:03,file_example_MP3_5MG.mp3,0.212,0.27,441.26
2025-04-14 17:51:05,file_example_MP3_5MG.mp3,0.191,0.233,448.52
2025-04-14 17:51:07,file_example_MP3_5MG.mp3,0.19,0.22,705.29
2025-04-14 17:51:09,file_example_MP3_5MG.mp3,0.175,0.21,611.89
2025-04-14 17:51:11,file_example_MP3_5MG.mp3,0.232,0.201,468.35
2025-04-14 17:51:13,file_example_MP3_5MG.mp3,0.212,0.197,442.56
2025-04-14 17:51:15,file_example_MP3_5MG.mp3,0.128,0.178,402.46
2025-04-14 17:51:17,file_example_MP3_5MG.mp3,0.189,0.185,411.91
2025-04-14 17:51:19,file_example_MP3_5MG.mp3,0.132,0.179,473.26
2025-04-14 17:51:20,file_example_MP3_5MG.mp3,0.195,0.274,619.2
2025-04-14 17:51:22,file_example_MP3_5MG.mp3,0.175,0.547,456.87
2025-04-14 17:51:25,file_example_MP3_5MG.mp3,0.217,0.447,433.3
2025-04-14 17:51:27,file_example_MP3_5MG.mp3,0.258,0.433,450.06
2025-04-14 17:51:29,file_example_MP3_5MG.mp3,0.237,1.138,451.73
2025-04-14 17:51:32,file_example_MP3_5MG.mp3,0.208,0.923,424.28
2025-04-14 17:51:34,file_example_MP3_5MG.mp3,0.189,0.487,421.05
2025-04-14 17:51:36,file_example_MP3_5MG.mp3,0.29,0.384,445.58
2025-04-14 17:51:38,file_example_MP3_5MG.mp3,0.293,0.44,430.81
2025-04-14 17:51:41,file_example_MP3_5MG.mp3,0.213,0.353,465.98
2025-04-14 17:51:43,file_example_MP3_5MG.mp3,0.195,0.407,442.7
2025-04-14 17:51:45,file_example_MP3_5MG.mp3,0.21,0.452,459.22
2025-04-14 17:51:47,file_example_MP3_5MG.mp3,0.167,0.45,441.8
2025-04-14 17:51:49,file_example_MP3_5MG.mp3,0.259,0.6,453.94
2025-04-14 17:51:51,file_example_MP3_5MG.mp3,0.201,0.432,438.34
2025-04-14 17:51:53,file_example_MP3_5MG.mp3,0.298,1.964,503.25
2025-04-14 17:51:57,file_example_MP3_5MG.mp3,0.32,1.426,422.9
2025-04-14 17:52:00,file_example_MP3_5MG.mp3,0.234,1.065,491.27
2025-04-14 17:52:03,file_example_MP3_5MG.mp3,0.181,0.563,747.21
2025-04-14 17:52:05,file_example_MP3_5MG.mp3,0.169,0.393,431.39
